scenario,region,district,festivalType,venueType,durationDays,planningYear,requestedPolicy,appliedPolicy,referenceYearFrom,referenceYearTo,earliestSourceYear,latestSourceYear,sampleCount,distinctYearsUsed,effectiveYearCount,fallbackLevel,estimatedBudget,weightedAverage,recommendedBudget,p25,p50,p75,averageSimilarity,dataQualityV3,yearWeightBreakdown
A,SEOUL,,CULTURE_ART,VILLAGE,2,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,5.587405293042295,SAME_REGION_TYPE,136441530,237368026,214697758,45000000,128219821,400000000,0.9372254390176351,82.819526516407,2017:10:0.199523981223776|2018:7:0.13826134146766633|2019:9:0.18012153999273717|2020:9:0.18012153999273717|2021:11:0.2201485488800121|2025:4:0.08182304844307128
B,SEOUL,,CULTURE_ART,VILLAGE,2,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,5.587405293042295,SAME_REGION_TYPE,136441530,237368026,214697758,45000000,128219821,400000000,0.9372254390176351,82.819526516407,2017:10:0.199523981223776|2018:7:0.13826134146766633|2019:9:0.18012153999273717|2020:9:0.18012153999273717|2021:11:0.2201485488800121|2025:4:0.08182304844307128
C,SEOUL,,CULTURE_ART,VILLAGE,2,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,7,6.456427335292178,SAME_REGION_TYPE,119751911,190407137,200858705,42087702,128648965,279625152,0.9392219526930113,83.71331833805729,2017:9:0.17934941602683974|2018:4:0.07971085156748435|2019:9:0.17934941602683974|2020:9:0.17934941602683974|2021:8:0.15942170313496867|2025:4:0.0814722989620918|2026:7:0.1413468982549361
D,SEOUL,,CULTURE_ART,VILLAGE,2,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,7,6.456427335292178,SAME_REGION_TYPE,119751911,190407137,200858705,42087702,128648965,279625152,0.9392219526930113,83.71331833805729,2017:9:0.17934941602683974|2018:4:0.07971085156748435|2019:9:0.17934941602683974|2020:9:0.17934941602683974|2021:8:0.15942170313496867|2025:4:0.0814722989620918|2026:7:0.1413468982549361
A,SEOUL,,NATURE_ECOLOGY,GREEN,7,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,9,5.845367441778211,GLOBAL_SIMILARITY,133939761,231573806,236255829,65084285,132130815,260000000,0.8850891849830196,74.40128784742213,2017:2:0.04127914450766256|2018:5:0.1102151840440587|2019:3:0.06582402016967746|2020:2:0.04447520986192449|2021:4:0.08645359306772114|2022:3:0.06612911042643523|2023:5:0.1102151840440587|2024:7:0.15430125766168218|2025:19:0.32110729621677997
B,SEOUL,,NATURE_ECOLOGY,GREEN,7,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,9,5.845367441778211,GLOBAL_SIMILARITY,133939761,231573806,236255829,65084285,132130815,260000000,0.8850891849830196,74.40128784742213,2017:2:0.04127914450766256|2018:5:0.1102151840440587|2019:3:0.06582402016967746|2020:2:0.04447520986192449|2021:4:0.08645359306772114|2022:3:0.06612911042643523|2023:5:0.1102151840440587|2024:7:0.15430125766168218|2025:19:0.32110729621677997
C,SEOUL,,NATURE_ECOLOGY,GREEN,7,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,10,7.6190893805961935,SAME_REGION_TYPE,165039332,277608235,261723961,70000000,171828438,299609855,0.8916570621798895,76.26906483864235,2017:1:0.020604673254109456|2018:5:0.10837434979150273|2019:3:0.0647246152916632|2020:2:0.04373237673585796|2021:3:0.06502460987490165|2022:3:0.06502460987490165|2023:5:0.10837434979150273|2024:7:0.1517240897081038|2025:10:0.17190129282888306|2026:11:0.20051503284857405
D,SEOUL,,NATURE_ECOLOGY,GREEN,7,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,10,7.6190893805961935,SAME_REGION_TYPE,165039332,277608235,261723961,70000000,171828438,299609855,0.8916570621798895,76.26906483864235,2017:1:0.020604673254109456|2018:5:0.10837434979150273|2019:3:0.0647246152916632|2020:2:0.04373237673585796|2021:3:0.06502460987490165|2022:3:0.06502460987490165|2023:5:0.10837434979150273|2024:7:0.1517240897081038|2025:10:0.17190129282888306|2026:11:0.20051503284857405
A,SEOUL,,CULTURE_ART,WATERFRONT,10,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,1.896656057295421,SAME_REGION_TYPE,150110640,287772083,216133691,50000000,159710049,399830473,0.9270448979648167,76.05492403683364,2017:4:0.08120245354614818|2018:36:0.7139579625604217|2019:2:0.04091352527964654|2020:3:0.061370287919469815|2021:2:0.04091352527964654|2025:3:0.061642245414667125
B,SEOUL,,CULTURE_ART,WATERFRONT,10,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,1.896656057295421,SAME_REGION_TYPE,150110640,287772083,216133691,50000000,159710049,399830473,0.9270448979648167,76.05492403683364,2017:4:0.08120245354614818|2018:36:0.7139579625604217|2019:2:0.04091352527964654|2020:3:0.061370287919469815|2021:2:0.04091352527964654|2025:3:0.061642245414667125
