station_id,station_name,month,avg_temp_c,max_temp_c,min_temp_c,precipitation_mm,humidity_pct,sunshine_hr
90,속초,1,0.1,4.2,-3.8,43.5,49.0,185.4
90,속초,2,1.9,6.0,-2.2,45.9,53.2,176.9
90,속초,3,6.3,10.6,1.8,52.3,58.0,194.9
90,속초,4,11.9,16.5,7.3,73.3,60.5,211.9
90,속초,5,16.3,20.9,12.1,88.5,68.6,216.3
90,속초,6,19.8,23.5,16.5,119.5,78.7,172.4
90,속초,7,23.4,26.7,20.6,265.6,82.2,146.3
90,속초,8,24.1,27.5,21.2,298.0,82.3,152.4
90,속초,9,20.1,24.0,16.5,200.6,77.8,166.8
90,속초,10,15.1,19.5,10.8,87.9,65.6,189.8
90,속초,11,8.8,13.1,4.7,92.0,56.0,169.0
90,속초,12,2.5,6.6,-1.5,40.1,47.9,184.3
95,철원,1,-5.7,0.7,-11.8,18.2,67.1,173.3
95,철원,2,-2.3,4.1,-8.6,26.3,63.1,176.0
95,철원,3,3.7,10.2,-2.6,30.8,60.5,196.5
95,철원,4,10.5,17.5,3.4,69.0,58.3,203.7
95,철원,5,16.6,22.9,10.4,102.4,64.4,224.5
95,철원,6,21.1,26.7,16.1,119.0,71.4,198.7
95,철원,7,23.8,28.1,20.2,400.0,81.3,141.9
95,철원,8,24.0,28.9,20.1,347.4,81.4,170.0
95,철원,9,18.9,25.0,13.6,121.2,76.9,187.0
95,철원,10,11.8,19.1,5.5,49.9,72.9,200.6
95,철원,11,4.3,10.5,-1.2,48.1,71.6,152.3
95,철원,12,-3.2,2.7,-8.6,22.1,70.0,159.0
98,동두천,1,-3.8,2.4,-9.0,18.4,60.9,183.7
98,동두천,2,-0.8,5.8,-6.2,26.0,57.5,180.8
98,동두천,3,5.0,12.1,-0.8,32.0,55.3,209.6
98,동두천,4,11.6,19.0,5.2,73.2,55.3,206.0
98,동두천,5,17.4,24.5,11.3,95.2,62.3,231.2
98,동두천,6,21.8,28.2,16.7,130.5,68.4,203.9
98,동두천,7,24.3,29.0,20.9,431.7,79.5,128.7
98,동두천,8,24.9,30.1,21.2,347.5,77.8,164.1
98,동두천,9,20.1,26.3,15.3,137.9,73.6,182.4
98,동두천,10,13.1,20.5,7.4,55.1,69.3,201.2
98,동두천,11,5.7,12.2,0.5,47.4,64.9,160.6
98,동두천,12,-1.9,3.9,-6.9,22.2,62.4,169.6
99,파주,1,-4.6,1.8,-10.6,17.4,65.2,193.0
99,파주,2,-1.3,5.2,-7.3,27.9,62.7,184.2
99,파주,3,4.4,11.2,-1.9,31.5,62.2,212.4
99,파주,4,10.8,17.9,4.1,74.2,63.0,208.8
99,파주,5,16.8,23.8,10.7,102.0,69.6,234.4
99,파주,6,21.4,27.5,16.5,107.4,75.0,209.1
99,파주,7,24.2,28.8,20.8,395.2,84.1,137.6
99,파주,8,24.9,29.9,21.2,282.9,83.5,171.1
99,파주,9,19.9,26.1,15.1,134.5,79.4,187.5
99,파주,10,12.6,20.3,6.5,50.1,74.8,210.8
99,파주,11,5.2,11.6,-0.4,52.7,71.4,163.6
99,파주,12,-2.6,3.2,-8.0,20.0,68.1,175.8
100,대관령,1,-6.9,-1.8,-12.2,53.1,66.3,199.3
